male,female,word,p_w,p_w_male,p_w_female,PMI_male,PMI_female,NPMI_male,NPMI_female
2,5,hell,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
2,5,krankenschw,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
2,5,kunstler,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
2,5,rechtsanwalts-,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
2,5,kinderlos,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
2,5,hauswirtschaft,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
2,5,charité,5.128317838487293e-5,1.823835708879344e-5,1.8630300320441167e-4,-0.8149087974502107,2.9164954487442873,-0.03584215814941382,0.14288005679089552
4,8,offenburg,8.791402008835359e-5,3.647671417758688e-5,2.9808480512705867e-4,-0.6607581176229524,2.8475025772573357,-0.029976014316033955,0.14278785396827465
1,3,gesundheits-,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,berlin-neukolln,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,wohn,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,rug,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,abschaffung,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,nordenham,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,kybernet,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,frauenring,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,stromung,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,forscht,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,frech,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,aschersleb,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,hettstedt,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,erziehungsschwier,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,burgerschaftsabgeordnet,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,paritat,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,grosshandelsunternehm,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,geschwister-scholl-gymnasium,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,ostwestfalen-lipp,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,spd-kreisvorstand,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,hotel-,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,untersucht,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,jugendfrag,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,offic,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,irland,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
1,3,richtet,2.930467336278453e-5,9.11917854439672e-6,1.11781801922647e-4,-0.9484401900747332,2.9652856129137195,-0.04048113660232775,0.14172359704884094
